Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 01 - Step 1 - Login SUPER_ADMIN
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 02 - Step 2 - Create ADMIN
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 03 - Step 3 - Login ADMIN
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 04 - Step 4 - Create CATALOG_MANAGER
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 05 - Step 5 - Register MANUFACTURER
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 06 - Step 6 - Register RETAILER
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 07 - Step 7 - Login CATALOG_MANAGER
Admin APIs	GET		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 08 - Step 8 - Get Pending Users
Admin APIs	PATCH		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 09 - Step 9 - Approve MANUFACTURER
Admin APIs	PATCH		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 10 - Step 9 - Approve RETAILER
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 11 - Login MANUFACTURER
Admin APIs	POST		E2E SCENARIOS > 00 - Identity Bootstrap & Approvals	Step 12 - Login RETAILER
Product APIs	POST		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 01 - Bulk Create Brands
Product APIs	POST		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 02 - Bulk Create Categories
Product APIs	GET		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 03 - List Categories
Product APIs	GET		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 04 - Get Category Tree
Product APIs	POST		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 05 - Bulk Create Products
Product APIs	POST		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 06 - Create Product
Product APIs	PATCH	{{baseUrl}}/variants/{{variantId}}	E2E SCENARIOS > 01 - Catalog & Product Setup	Step 07 - Update Variant
Product APIs	POST		E2E SCENARIOS > 01 - Catalog & Product Setup	Step 08 - Create Address
Order APIs	POST		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 01 - Place Order
Order APIs	POST		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 02 - Create Razorpay Order
Order APIs	POST		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 03 - Verify Razorpay Payment
Order APIs	POST		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 04 - Accept Order (Manufacturer)
Order APIs	POST	{{baseUrl}}/shipments	E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 05 - Create Shipment (Manufacturer)
Order APIs	PATCH	{{baseUrl}}/shipments/{{shipmentId}}/status	E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 06 - Update Shipment Status - IN_TRANSIT
Order APIs	PATCH	{{baseUrl}}/shipments/{{shipmentId}}/status	E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 07 - Update Shipment Status - OUT_FOR_DELIVERY
Order APIs	PATCH	{{baseUrl}}/shipments/{{shipmentId}}/status	E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 08 - Update Shipment Status - DELIVERED
Order APIs	GET	{{baseUrl}}/shipments/{{orderId}}	E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 09 - Get Shipment by Order (Retailer)
Order APIs	GET		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 10 - Get Order Events
Order APIs	GET		E2E SCENARIOS > 02 - Happy Path (Order -> Payment -> Shipment -> Delivery)	Step 11 - Get Payment For Order
